trial_id,trial_hash,fixture_role,closest_clearance_m,seed,condition,initial_state_hash,parameters_hash,dt_ms,telemetry_bin_ms,input_onset_ms,first_escape_sim_ms,escaped,lc4_spikes,lplc2_spikes,dnp01_spikes,simulated_duration_ms,wall_compute_ms,trace_file
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,hit,-0.012000,41001,baseline,68ed95df5f43444cb965c50ce687c7ed81a5dc6b0f70c3d72eff029e7daf3f0b,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,110.5,true,2132,3158,278,800.0,900.002,evidence/traces/course-01-seed-41001-baseline.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,hit,-0.012000,41001,sensory_outputs_silenced,68ed95df5f43444cb965c50ce687c7ed81a5dc6b0f70c3d72eff029e7daf3f0b,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2110,3158,0,800.0,486.734,evidence/traces/course-01-seed-41001-sensory_outputs_silenced.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,hit,-0.012000,41002,baseline,c25a57ab409cd0dc55e55794d262b051eba3651bc1b5ed4d66a1877e5a6ed4be,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,113.0,true,2156,3226,282,800.0,714.241,evidence/traces/course-01-seed-41002-baseline.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,hit,-0.012000,41002,sensory_outputs_silenced,c25a57ab409cd0dc55e55794d262b051eba3651bc1b5ed4d66a1877e5a6ed4be,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2136,3226,0,800.0,456.467,evidence/traces/course-01-seed-41002-sensory_outputs_silenced.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,hit,-0.012000,41003,baseline,d4985c906c92d816b18d327f95f47a2df6669422cb19a490c2daedc91a6065e4,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,113.0,true,2260,3180,286,800.0,777.891,evidence/traces/course-01-seed-41003-baseline.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,hit,-0.012000,41003,sensory_outputs_silenced,d4985c906c92d816b18d327f95f47a2df6669422cb19a490c2daedc91a6065e4,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2234,3179,0,800.0,446.643,evidence/traces/course-01-seed-41003-sensory_outputs_silenced.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,hit,-0.012000,41004,baseline,6896d0b3aea1491a0ef8cc6cd86d30ed7f87feea73c27aa9c4ba46f55e6a507b,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,111.5,true,2201,3110,280,800.0,718.629,evidence/traces/course-01-seed-41004-baseline.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,hit,-0.012000,41004,sensory_outputs_silenced,6896d0b3aea1491a0ef8cc6cd86d30ed7f87feea73c27aa9c4ba46f55e6a507b,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2183,3107,0,800.0,443.663,evidence/traces/course-01-seed-41004-sensory_outputs_silenced.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,hit,-0.012000,41005,baseline,efb5e73d3eafbb4bffd5529a12d3637b5b8831e893d6abeabac2fbfc7d861618,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,111.5,true,2074,3169,279,800.0,694.984,evidence/traces/course-01-seed-41005-baseline.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,hit,-0.012000,41005,sensory_outputs_silenced,efb5e73d3eafbb4bffd5529a12d3637b5b8831e893d6abeabac2fbfc7d861618,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2061,3166,0,800.0,454.065,evidence/traces/course-01-seed-41005-sensory_outputs_silenced.json
