trial_id,trial_hash,seed,condition,escape_sim_ms,lc4_spikes,lplc2_spikes,dnp01_spikes,wall_compute_ms,trace_file
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,41001,baseline,110.500,2132,3158,278,900.002,course-01-seed-41001-baseline.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,41001,sensory_outputs_silenced,,2110,3158,0,486.734,course-01-seed-41001-sensory_outputs_silenced.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,41002,baseline,113.000,2156,3226,282,714.241,course-01-seed-41002-baseline.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,41002,sensory_outputs_silenced,,2136,3226,0,456.467,course-01-seed-41002-sensory_outputs_silenced.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,41003,baseline,113.000,2260,3180,286,777.891,course-01-seed-41003-baseline.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,41003,sensory_outputs_silenced,,2234,3179,0,446.643,course-01-seed-41003-sensory_outputs_silenced.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,41004,baseline,111.500,2201,3110,280,718.629,course-01-seed-41004-baseline.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,41004,sensory_outputs_silenced,,2183,3107,0,443.663,course-01-seed-41004-sensory_outputs_silenced.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,41005,baseline,111.500,2074,3169,279,694.984,course-01-seed-41005-baseline.json
course-01,590cad633ca7da6d5fb0dc03682faad106d07f77566aedd2d2a44984dbfe469e,41005,sensory_outputs_silenced,,2061,3166,0,454.065,course-01-seed-41005-sensory_outputs_silenced.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,41001,baseline,110.500,2090,3217,269,732.752,course-02-seed-41001-baseline.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,41001,sensory_outputs_silenced,,2075,3217,0,548.303,course-02-seed-41001-sensory_outputs_silenced.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,41002,baseline,112.500,2074,3435,279,720.690,course-02-seed-41002-baseline.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,41002,sensory_outputs_silenced,,2058,3435,0,546.143,course-02-seed-41002-sensory_outputs_silenced.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,41003,baseline,113.500,2041,3278,283,722.725,course-02-seed-41003-baseline.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,41003,sensory_outputs_silenced,,2022,3278,0,538.799,course-02-seed-41003-sensory_outputs_silenced.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,41004,baseline,111.500,2106,3207,282,839.197,course-02-seed-41004-baseline.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,41004,sensory_outputs_silenced,,2088,3207,0,572.227,course-02-seed-41004-sensory_outputs_silenced.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,41005,baseline,111.000,2085,3284,277,732.011,course-02-seed-41005-baseline.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,41005,sensory_outputs_silenced,,2071,3284,0,589.220,course-02-seed-41005-sensory_outputs_silenced.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,41001,baseline,110.500,2825,3358,237,732.916,course-03-seed-41001-baseline.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,41001,sensory_outputs_silenced,,2702,3332,0,581.020,course-03-seed-41001-sensory_outputs_silenced.json
